Scenario,Epoch,TrainAcc,TestAcc,Loss,CommFwdBytes,CommBwdBytes,ClientTimeFwd,ClientTimeBwd,ServerTimeFwd,ServerTimeBwd,CommTimeWall,TotalTime,PeakGPUMemMB
DGL_1_10,1,33.4820,45.5100,3.5458,1638400000,0,8.0944,8.0944,6.1134,6.1134,4.3023,32.7178,761.08
DGL_1_10,2,45.6160,48.1900,2.9175,1638400000,0,6.4952,6.4952,6.2070,6.2070,4.3749,29.7793,761.08
DGL_1_10,3,52.6580,53.0600,2.5723,1638400000,0,6.6093,6.6093,6.4411,6.4411,4.4338,30.5347,761.08
DGL_1_10,4,57.9060,60.7200,2.3116,1638400000,0,6.3388,6.3388,6.4736,6.4736,4.4868,30.1115,761.08
DGL_1_10,5,61.3380,56.3700,2.1244,1638400000,0,6.6911,6.6911,6.5106,6.5106,4.4367,30.8402,761.08
DGL_1_10,6,65.1380,66.6100,1.9469,1638400000,0,6.5680,6.5680,6.5297,6.5297,4.4202,30.6155,761.08
DGL_1_10,7,67.1280,67.8000,1.8536,1638400000,0,6.4897,6.4897,6.4980,6.4980,4.4631,30.4385,761.08
DGL_1_10,8,69.1340,67.0100,1.7532,1638400000,0,6.5713,6.5713,6.5162,6.5162,4.4694,30.6445,761.08
DGL_1_10,9,70.8380,69.1000,1.6635,1638400000,0,6.6093,6.6093,6.5028,6.5028,4.4193,30.6434,761.08
DGL_1_10,10,72.9840,72.5500,1.5486,1638400000,0,6.3954,6.3954,6.5021,6.5021,4.5196,30.3145,761.08
DGL_1_10,11,74.1540,69.3700,1.5081,1638400000,0,6.8224,6.8224,6.5293,6.5293,4.4268,31.1300,761.08
DGL_1_10,12,74.6560,73.9200,1.4842,1638400000,0,6.4073,6.4073,6.4837,6.4837,4.4532,30.2351,761.08
DGL_1_10,13,75.6080,74.8100,1.4179,1638400000,0,6.6806,6.6806,6.5114,6.5114,4.3985,30.7825,761.08
DGL_1_10,14,76.5040,76.0100,1.3781,1638400000,0,6.7727,6.7727,6.5321,6.5321,4.4138,31.0232,761.08
