Scenario,Peak Train Acc (%),Peak Test Acc (%),Peak Mem (MB),Total Time (s),Avg Client Fwd (s),Avg Client Bwd (s),Avg Server Fwd (s),Avg Server Bwd (s),Avg Comm/Overhead (s)
DGL_1_1,90.796,85.12,761.08,1380.7112,6.466064,6.466064,6.416304,6.416304,1.849472
DGL_1_10,88.672,84.45,761.08,1529.6887,6.58152,6.58152,6.492322000000001,6.492322000000001,4.44611
DGL_1_5,90.438,86.47,761.08,1457.5143,6.594364000000001,6.594364000000001,6.464906,6.464906,3.0317540000000003
Std_1_1,92.686,84.48,1059.16,1208.3762,3.920804,8.418632,4.256136000000001,5.6244320000000005,1.9475200000000001
Std_1_10,90.848,85.06,1059.16,1346.4297,3.96178,8.396032,4.25443,5.747952000000001,4.56841
Std_1_5,92.056,84.35,1059.16,1253.5975,3.844866,8.283876,4.185194,5.688224,3.0697840000000003
