Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar-100-python.tar.gz
Extracting ./data/cifar-100-python.tar.gz to ./data
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 5000

--- Starting DGL | Clients: 10 | Splits: 2 ---
[Std_1_10] Epoch 8 | Train: 28.3% | Test: 29.3% | Time: 26.9s | GPU: 1059MB
[Std_1_10] Epoch 9 | Train: 30.9% | Test: 30.4% | Time: 27.7s | GPU: 1059MB
[Std_1_10] Epoch 10 | Train: 33.4% | Test: 32.2% | Time: 26.2s | GPU: 1059MB
[Std_1_10] Epoch 11 | Train: 35.2% | Test: 33.2% | Time: 27.3s | GPU: 1059MB
[Std_1_10] Epoch 12 | Train: 37.5% | Test: 35.3% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 13 | Train: 39.5% | Test: 35.8% | Time: 26.8s | GPU: 1059MB
[Std_1_10] Epoch 14 | Train: 40.8% | Test: 38.6% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 15 | Train: 42.1% | Test: 41.3% | Time: 26.6s | GPU: 1059MB
[Std_1_10] Epoch 16 | Train: 43.6% | Test: 41.4% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 17 | Train: 45.1% | Test: 40.9% | Time: 27.1s | GPU: 1059MB
[Std_1_10] Epoch 18 | Train: 46.5% | Test: 43.0% | Time: 27.3s | GPU: 1059MB
[Std_1_10] Epoch 19 | Train: 47.5% | Test: 42.8% | Time: 26.6s | GPU: 1059MB
[Std_1_10] Epoch 20 | Train: 48.2% | Test: 45.5% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 21 | Train: 49.6% | Test: 46.7% | Time: 27.6s | GPU: 1059MB
[Std_1_10] Epoch 22 | Train: 50.4% | Test: 46.6% | Time: 26.9s | GPU: 1059MB
[Std_1_10] Epoch 23 | Train: 51.8% | Test: 47.3% | Time: 27.5s | GPU: 1059MB
[Std_1_10] Epoch 24 | Train: 52.4% | Test: 47.4% | Time: 26.9s | GPU: 1059MB
[Std_1_10] Epoch 25 | Train: 53.2% | Test: 48.2% | Time: 26.6s | GPU: 1059MB
[Std_1_10] Epoch 26 | Train: 54.0% | Test: 48.0% | Time: 27.0s | GPU: 1059MB
[Std_1_10] Epoch 27 | Train: 54.3% | Test: 49.2% | Time: 26.6s | GPU: 1059MB
[Std_1_10] Epoch 28 | Train: 55.5% | Test: 50.0% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 29 | Train: 56.6% | Test: 51.0% | Time: 27.3s | GPU: 1059MB
[Std_1_10] Epoch 30 | Train: 57.1% | Test: 52.0% | Time: 27.1s | GPU: 1059MB
[Std_1_10] Epoch 31 | Train: 57.7% | Test: 51.3% | Time: 27.2s | GPU: 1059MB
[Std_1_10] Epoch 32 | Train: 58.5% | Test: 51.1% | Time: 27.1s | GPU: 1059MB
[Std_1_10] Epoch 33 | Train: 58.4% | Test: 49.7% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 34 | Train: 59.2% | Test: 53.0% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 35 | Train: 59.8% | Test: 52.1% | Time: 27.0s | GPU: 1059MB
[Std_1_10] Epoch 36 | Train: 60.3% | Test: 53.5% | Time: 26.9s | GPU: 1059MB
[Std_1_10] Epoch 37 | Train: 61.2% | Test: 52.8% | Time: 27.1s | GPU: 1059MB
[Std_1_10] Epoch 38 | Train: 61.8% | Test: 54.8% | Time: 27.3s | GPU: 1059MB
[Std_1_10] Epoch 39 | Train: 61.9% | Test: 54.1% | Time: 27.6s | GPU: 1059MB
[Std_1_10] Epoch 40 | Train: 62.5% | Test: 53.5% | Time: 27.4s | GPU: 1059MB
[Std_1_10] Epoch 41 | Train: 63.0% | Test: 55.4% | Time: 27.2s | GPU: 1059MB
[Std_1_10] Epoch 42 | Train: 63.7% | Test: 52.7% | Time: 26.8s | GPU: 1059MB
[Std_1_10] Epoch 43 | Train: 64.3% | Test: 55.1% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 44 | Train: 64.6% | Test: 54.9% | Time: 26.8s | GPU: 1059MB
[Std_1_10] Epoch 45 | Train: 65.4% | Test: 56.4% | Time: 27.1s | GPU: 1059MB
[Std_1_10] Epoch 46 | Train: 65.5% | Test: 56.3% | Time: 26.7s | GPU: 1059MB
[Std_1_10] Epoch 47 | Train: 65.7% | Test: 53.9% | Time: 26.8s | GPU: 1059MB
[Std_1_10] Epoch 48 | Train: 66.5% | Test: 54.6% | Time: 26.5s | GPU: 1059MB
[Std_1_10] Epoch 49 | Train: 67.1% | Test: 54.7% | Time: 26.6s | GPU: 1059MB
[Std_1_10] Epoch 50 | Train: 67.1% | Test: 56.2% | Time: 27.1s | GPU: 1059MB
Files already downloaded and verified
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 10000

--- Starting DGL | Clients: 5 | Splits: 2 ---
[DGL_1_5] Epoch 1 | Train: 5.6% | Test: 7.8% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 2 | Train: 10.9% | Test: 12.1% | Time: 29.2s | GPU: 761MB
[DGL_1_5] Epoch 3 | Train: 14.2% | Test: 15.5% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 4 | Train: 16.7% | Test: 17.1% | Time: 29.2s | GPU: 761MB
[DGL_1_5] Epoch 5 | Train: 19.2% | Test: 20.5% | Time: 29.3s | GPU: 761MB
[DGL_1_5] Epoch 6 | Train: 21.2% | Test: 23.4% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 7 | Train: 24.1% | Test: 22.7% | Time: 30.1s | GPU: 761MB
[DGL_1_5] Epoch 8 | Train: 26.7% | Test: 25.5% | Time: 29.0s | GPU: 761MB
[DGL_1_5] Epoch 9 | Train: 29.0% | Test: 28.3% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 10 | Train: 31.4% | Test: 30.5% | Time: 28.8s | GPU: 761MB
[DGL_1_5] Epoch 11 | Train: 33.4% | Test: 33.6% | Time: 29.1s | GPU: 761MB
[DGL_1_5] Epoch 12 | Train: 35.3% | Test: 34.9% | Time: 28.3s | GPU: 761MB
[DGL_1_5] Epoch 13 | Train: 37.1% | Test: 37.1% | Time: 28.6s | GPU: 761MB
[DGL_1_5] Epoch 14 | Train: 38.9% | Test: 36.7% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 15 | Train: 40.5% | Test: 38.3% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 16 | Train: 42.2% | Test: 38.5% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 17 | Train: 43.5% | Test: 40.1% | Time: 29.0s | GPU: 761MB
[DGL_1_5] Epoch 18 | Train: 44.7% | Test: 38.0% | Time: 28.6s | GPU: 761MB
[DGL_1_5] Epoch 19 | Train: 45.8% | Test: 42.1% | Time: 29.5s | GPU: 761MB
[DGL_1_5] Epoch 20 | Train: 47.0% | Test: 42.3% | Time: 29.1s | GPU: 761MB
[DGL_1_5] Epoch 21 | Train: 48.0% | Test: 45.3% | Time: 29.4s | GPU: 761MB
[DGL_1_5] Epoch 22 | Train: 49.1% | Test: 43.8% | Time: 28.7s | GPU: 761MB
[DGL_1_5] Epoch 23 | Train: 49.9% | Test: 46.9% | Time: 29.9s | GPU: 761MB
[DGL_1_5] Epoch 24 | Train: 50.8% | Test: 45.6% | Time: 28.8s | GPU: 761MB
[DGL_1_5] Epoch 25 | Train: 51.8% | Test: 46.8% | Time: 28.9s | GPU: 761MB
[DGL_1_5] Epoch 26 | Train: 52.3% | Test: 47.4% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 27 | Train: 53.5% | Test: 46.9% | Time: 28.5s | GPU: 761MB
[DGL_1_5] Epoch 28 | Train: 53.7% | Test: 47.5% | Time: 29.1s | GPU: 761MB
[DGL_1_5] Epoch 29 | Train: 54.8% | Test: 50.8% | Time: 28.3s | GPU: 761MB
[DGL_1_5] Epoch 30 | Train: 55.3% | Test: 46.5% | Time: 29.2s | GPU: 761MB
[DGL_1_5] Epoch 31 | Train: 56.1% | Test: 49.7% | Time: 28.6s | GPU: 761MB
[DGL_1_5] Epoch 32 | Train: 56.8% | Test: 47.7% | Time: 28.6s | GPU: 761MB
[DGL_1_5] Epoch 33 | Train: 57.4% | Test: 49.7% | Time: 28.5s | GPU: 761MB
[DGL_1_5] Epoch 34 | Train: 58.0% | Test: 48.0% | Time: 29.1s | GPU: 761MB
[DGL_1_5] Epoch 35 | Train: 58.7% | Test: 48.5% | Time: 29.8s | GPU: 761MB
[DGL_1_5] Epoch 36 | Train: 59.2% | Test: 52.8% | Time: 28.7s | GPU: 761MB
[DGL_1_5] Epoch 37 | Train: 59.7% | Test: 51.1% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 38 | Train: 60.2% | Test: 51.7% | Time: 28.5s | GPU: 761MB
[DGL_1_5] Epoch 39 | Train: 60.8% | Test: 50.5% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 40 | Train: 61.1% | Test: 51.2% | Time: 29.8s | GPU: 761MB
[DGL_1_5] Epoch 41 | Train: 61.7% | Test: 52.3% | Time: 28.3s | GPU: 761MB
[DGL_1_5] Epoch 42 | Train: 62.1% | Test: 53.4% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 43 | Train: 62.6% | Test: 54.1% | Time: 28.3s | GPU: 761MB
[DGL_1_5] Epoch 44 | Train: 63.0% | Test: 52.9% | Time: 29.2s | GPU: 761MB
[DGL_1_5] Epoch 45 | Train: 63.3% | Test: 53.9% | Time: 28.6s | GPU: 761MB
[DGL_1_5] Epoch 46 | Train: 63.7% | Test: 52.6% | Time: 28.7s | GPU: 761MB
[DGL_1_5] Epoch 47 | Train: 64.5% | Test: 53.9% | Time: 30.2s | GPU: 761MB
[DGL_1_5] Epoch 48 | Train: 64.9% | Test: 51.5% | Time: 29.6s | GPU: 761MB
[DGL_1_5] Epoch 49 | Train: 65.4% | Test: 55.9% | Time: 29.5s | GPU: 761MB
[DGL_1_5] Epoch 50 | Train: 65.6% | Test: 55.9% | Time: 29.0s | GPU: 761MB

--- Starting Standard Split Learning | Clients: 5 ---
[Std_1_5] Epoch 1 | Train: 4.1% | Test: 7.9% | Time: 25.9s | GPU: 1059MB
[Std_1_5] Epoch 2 | Train: 9.6% | Test: 12.0% | Time: 25.8s | GPU: 1059MB
[Std_1_5] Epoch 3 | Train: 14.0% | Test: 16.1% | Time: 24.9s | GPU: 1059MB
[Std_1_5] Epoch 4 | Train: 17.9% | Test: 20.0% | Time: 25.0s | GPU: 1059MB
[Std_1_5] Epoch 5 | Train: 21.2% | Test: 23.2% | Time: 24.8s | GPU: 1059MB
[Std_1_5] Epoch 6 | Train: 24.2% | Test: 24.1% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 7 | Train: 26.9% | Test: 28.1% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 8 | Train: 29.1% | Test: 31.3% | Time: 25.3s | GPU: 1059MB
[Std_1_5] Epoch 9 | Train: 31.8% | Test: 31.1% | Time: 25.5s | GPU: 1059MB
[Std_1_5] Epoch 10 | Train: 34.0% | Test: 32.7% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 11 | Train: 36.0% | Test: 36.3% | Time: 26.1s | GPU: 1059MB
[Std_1_5] Epoch 12 | Train: 38.1% | Test: 38.0% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 13 | Train: 39.9% | Test: 37.5% | Time: 24.9s | GPU: 1059MB
[Std_1_5] Epoch 14 | Train: 42.0% | Test: 40.7% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 15 | Train: 43.1% | Test: 40.5% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 16 | Train: 44.9% | Test: 42.7% | Time: 25.5s | GPU: 1059MB
[Std_1_5] Epoch 17 | Train: 45.9% | Test: 43.5% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 18 | Train: 47.7% | Test: 44.9% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 19 | Train: 48.8% | Test: 45.1% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 20 | Train: 50.2% | Test: 47.2% | Time: 25.8s | GPU: 1059MB
[Std_1_5] Epoch 21 | Train: 50.9% | Test: 47.3% | Time: 25.8s | GPU: 1059MB
[Std_1_5] Epoch 22 | Train: 52.2% | Test: 48.4% | Time: 24.6s | GPU: 1059MB
[Std_1_5] Epoch 23 | Train: 53.2% | Test: 48.1% | Time: 24.8s | GPU: 1059MB
[Std_1_5] Epoch 24 | Train: 54.1% | Test: 47.3% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 25 | Train: 55.2% | Test: 49.0% | Time: 25.7s | GPU: 1059MB
[Std_1_5] Epoch 26 | Train: 55.8% | Test: 49.3% | Time: 25.6s | GPU: 1059MB
[Std_1_5] Epoch 27 | Train: 56.8% | Test: 50.4% | Time: 25.5s | GPU: 1059MB
[Std_1_5] Epoch 28 | Train: 57.4% | Test: 51.0% | Time: 25.3s | GPU: 1059MB
[Std_1_5] Epoch 29 | Train: 58.4% | Test: 52.5% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 30 | Train: 58.8% | Test: 50.5% | Time: 25.0s | GPU: 1059MB
[Std_1_5] Epoch 31 | Train: 59.6% | Test: 51.9% | Time: 25.4s | GPU: 1059MB
[Std_1_5] Epoch 32 | Train: 60.3% | Test: 52.3% | Time: 25.3s | GPU: 1059MB
[Std_1_5] Epoch 33 | Train: 60.9% | Test: 51.7% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 34 | Train: 61.6% | Test: 52.3% | Time: 25.6s | GPU: 1059MB
[Std_1_5] Epoch 35 | Train: 62.4% | Test: 53.5% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 36 | Train: 63.1% | Test: 54.9% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 37 | Train: 63.5% | Test: 54.2% | Time: 24.6s | GPU: 1059MB
[Std_1_5] Epoch 38 | Train: 64.3% | Test: 54.7% | Time: 25.1s | GPU: 1059MB
[Std_1_5] Epoch 39 | Train: 64.8% | Test: 52.9% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 40 | Train: 65.1% | Test: 55.7% | Time: 25.7s | GPU: 1059MB
[Std_1_5] Epoch 41 | Train: 66.0% | Test: 53.6% | Time: 25.0s | GPU: 1059MB
[Std_1_5] Epoch 42 | Train: 66.5% | Test: 55.2% | Time: 24.5s | GPU: 1059MB
[Std_1_5] Epoch 43 | Train: 67.0% | Test: 53.8% | Time: 25.0s | GPU: 1059MB
[Std_1_5] Epoch 44 | Train: 67.5% | Test: 55.1% | Time: 24.7s | GPU: 1059MB
[Std_1_5] Epoch 45 | Train: 67.7% | Test: 54.9% | Time: 24.8s | GPU: 1059MB
