Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/cifar-10-python.tar.gz
Extracting ./data/cifar-10-python.tar.gz to ./data
Files already downloaded and verified
Dataset: Cifar 10 | Images/Client: 5000

--- Starting DGL | Clients: 10 | Splits: 2 ---
[DGL_1_10] Epoch 1 | Train: 33.5% | Test: 45.5% | Time: 32.7s | GPU: 761MB
[DGL_1_10] Epoch 2 | Train: 45.6% | Test: 48.2% | Time: 29.8s | GPU: 761MB
[DGL_1_10] Epoch 3 | Train: 52.7% | Test: 53.1% | Time: 30.5s | GPU: 761MB
[DGL_1_10] Epoch 4 | Train: 57.9% | Test: 60.7% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 5 | Train: 61.3% | Test: 56.4% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 6 | Train: 65.1% | Test: 66.6% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 7 | Train: 67.1% | Test: 67.8% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 8 | Train: 69.1% | Test: 67.0% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 9 | Train: 70.8% | Test: 69.1% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 10 | Train: 73.0% | Test: 72.5% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 11 | Train: 74.2% | Test: 69.4% | Time: 31.1s | GPU: 761MB
[DGL_1_10] Epoch 12 | Train: 74.7% | Test: 73.9% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 13 | Train: 75.6% | Test: 74.8% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 14 | Train: 76.5% | Test: 76.0% | Time: 31.0s | GPU: 761MB
[DGL_1_10] Epoch 15 | Train: 77.6% | Test: 76.6% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 16 | Train: 78.3% | Test: 76.2% | Time: 31.3s | GPU: 761MB
[DGL_1_10] Epoch 17 | Train: 78.5% | Test: 78.7% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 18 | Train: 79.6% | Test: 77.7% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 19 | Train: 79.9% | Test: 76.9% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 20 | Train: 80.7% | Test: 71.1% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 21 | Train: 81.0% | Test: 73.2% | Time: 31.2s | GPU: 761MB
[DGL_1_10] Epoch 22 | Train: 81.3% | Test: 74.9% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 23 | Train: 82.0% | Test: 79.6% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 24 | Train: 82.4% | Test: 76.6% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 25 | Train: 82.6% | Test: 77.4% | Time: 31.1s | GPU: 761MB
[DGL_1_10] Epoch 26 | Train: 83.2% | Test: 77.6% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 27 | Train: 83.5% | Test: 81.0% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 28 | Train: 84.1% | Test: 77.5% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 29 | Train: 83.6% | Test: 82.7% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 30 | Train: 84.4% | Test: 80.7% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 31 | Train: 84.5% | Test: 81.4% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 32 | Train: 84.7% | Test: 81.3% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 33 | Train: 85.9% | Test: 80.9% | Time: 30.5s | GPU: 761MB
[DGL_1_10] Epoch 34 | Train: 85.2% | Test: 82.7% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 35 | Train: 85.5% | Test: 80.4% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 36 | Train: 85.7% | Test: 82.8% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 37 | Train: 86.1% | Test: 83.3% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 38 | Train: 85.9% | Test: 83.2% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 39 | Train: 86.4% | Test: 83.7% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 40 | Train: 86.4% | Test: 81.7% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 41 | Train: 87.0% | Test: 79.2% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 42 | Train: 86.8% | Test: 82.8% | Time: 31.0s | GPU: 761MB
[DGL_1_10] Epoch 43 | Train: 87.6% | Test: 83.2% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 44 | Train: 87.5% | Test: 84.5% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 45 | Train: 87.7% | Test: 82.8% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 46 | Train: 87.8% | Test: 80.5% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 47 | Train: 88.4% | Test: 84.2% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 48 | Train: 88.4% | Test: 82.5% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 49 | Train: 88.6% | Test: 82.7% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 50 | Train: 88.7% | Test: 84.1% | Time: 30.7s | GPU: 761MB

